Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	TRANSMEM:Helical	52	26.94300518134715	0.002796501141712689	7330969, 7330405, 7331736, 7329897, 7329931, 7331782, 7333282, 7329890, 7331263, 7330136, 7330333, 7331981, 7331789, 7331503, 7330911, 17829437, 7329821, 7331173, 7333353, 7332187, 7332343, 7332783, 7333392, 7332745, 7332746, 7332465, 7333312, 7330204, 7333513, 7333344, 7332057, 7333421, 7333267, 7331243, 7330433, 7330794, 7332417, 7331244, 7331920, 7333303, 7331708, 7333490, 7333058, 7332281, 7331394, 7330664, 7330586, 7333538, 7332841, 7330622, 7332489, 7331237	149	723	2976	1.4365200924559303	0.3805179728670821	0.47820169523286987	0.47820169523286987
GOTERM_BP_DIRECT	GO:0071555~cell wall organization	6	3.1088082901554404	0.005136921642748127	7332745, 7331620, 7331449, 7332731, 7331216, 7329746	74	23	1417	4.99529964747356	0.3168985624549353	0.37499527992061327	0.37499527992061327
KEGG_PATHWAY	ccs01501:beta-Lactam resistance	5	2.5906735751295336	0.02437795260238041	7331243, 7329891, 7329890, 7332745, 7329889	60	24	1235	4.288194444444444	0.798949853238952	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0573~Peptidoglycan synthesis	4	2.072538860103627	0.04614750016222027	7332745, 7331620, 7332731, 7329746	45	15	788	4.66962962962963	0.8086436942405248	0.6443276443707951	0.6443276443707951
GOTERM_BP_DIRECT	GO:0009252~peptidoglycan biosynthetic process	5	2.5906735751295336	0.05192303664902843	7332745, 7331620, 7332731, 7331216, 7329746	74	28	1417	3.4194015444015444	0.9806613584899911	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0133~Cell shape	4	2.072538860103627	0.0546231799785704	7332745, 7331620, 7332731, 7329746	45	16	788	4.377777777777778	0.8599854295031083	0.6443276443707951	0.6443276443707951
GOTERM_MF_DIRECT	GO:0015562~efflux transmembrane transporter activity	3	1.5544041450777202	0.05726561577629271	7329890, 7330623, 7329889	119	8	2353	7.414915966386555	0.9992922339573846	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0456~Lyase	11	5.699481865284974	0.06623555402570624	7331261, 7331173, 7332684, 7332695, 7330440, 7329763, 7332812, 7330276, 7331449, 7333501, 7331216	86	124	1781	1.8371155288822207	0.9207897567118397	1.0	1.0
INTERPRO	IPR036390:WH_DNA-bd_sf	9	4.66321243523316	0.0710055817731415	17829432, 7332385, 7330082, 7331989, 7330905, 7329761, 7330838, 7330015, 7331753	167	88	3317	2.0313690800217747	0.9999999999999998	1.0	1.0
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	21	10.880829015544041	0.07145669492361112	7330911, 7331736, 7333490, 7329889, 7331173, 7333421, 7333058, 7333392, 7329890, 7331174, 7330433, 7332745, 7330333, 7330586, 7331981, 7332417, 7331449, 7331789, 7332489, 7330204, 7331216	82	235	1312	1.4297872340425533	0.7555212606839354	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0961~Cell wall biogenesis/degradation	4	2.072538860103627	0.07363744507094802	7332745, 7331620, 7332731, 7329746	45	18	788	3.891358024691358	0.9312401825712634	0.6443276443707951	0.6443276443707951
UP_KW_BIOLOGICAL_PROCESS	KW-9998~Cell wall biogenesis/degradation	4	2.072538860103627	0.07363744507094802	7332745, 7331620, 7332731, 7329746	45	18	788	3.891358024691358	0.9312401825712634	0.6443276443707951	0.6443276443707951
KEGG_PATHWAY	ccs01212:Fatty acid metabolism	5	2.5906735751295336	0.07466597020923411	7330161, 7332166, 7332684, 7331619, 7332168	60	34	1235	3.0269607843137254	0.9935523017280624	1.0	1.0
UP_KW_PTM	KW-0564~Palmitate	3	1.5544041450777202	0.08348836818447919	7329891, 7331449, 7329889	10	9	159	5.3	0.2301361212962295	0.33395347273791676	0.33395347273791676
GOTERM_BP_DIRECT	GO:0008360~regulation of cell shape	4	2.072538860103627	0.08960813591570395	7332745, 7331620, 7332731, 7329746	74	21	1417	3.6473616473616475	0.9990386108318846	1.0	1.0
GOTERM_BP_DIRECT	GO:0017004~cytochrome complex assembly	3	1.5544041450777202	0.09012779256237856	7331173, 7331174, 7331981	74	10	1417	5.744594594594594	0.9990783849457701	1.0	1.0
GOTERM_MF_DIRECT	GO:0008932~lytic endotransglycosylase activity	2	1.0362694300518136	0.09780284829657909	7331449, 7331216	119	2	2353	19.77310924369748	0.9999968225512452	1.0	1.0
