Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_DOMAIN	KW-0732~Signal	68	34.87179487179487	9.723743218415999E-14	7330889, 17829447, 7329898, 7333561, 7332594, 7333320, 7333562, 7330297, 7331341, 7329692, 7331225, 7330256, 7332515, 7330216, 7332555, 7330214, 7331803, 7333309, 7331808, 7329702, 7333397, 7331171, 7332420, 7329783, 7331097, 7333395, 7330169, 7331654, 7330565, 7333319, 7332422, 7330843, 7330964, 7332423, 7332864, 7330902, 7330946, 7329996, 7329797, 7333380, 7329997, 7333583, 7332055, 7331364, 7330198, 7332294, 7332415, 7332416, 7333429, 7331526, 7330514, 7333026, 7333104, 7332378, 7331325, 7330735, 7330614, 7329929, 7332000, 7333454, 7331791, 7331399, 7332846, 7330745, 7331999, 7330743, 7332764, 7333579	85	531	1289	1.9419962335216572	1.0698109065288008E-12	1.06961175402576E-12	1.06961175402576E-12
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	20	10.256410256410255	8.03408142834436E-12	7333050, 7329844, 7333044, 7332220, 7332221, 7330170, 7330484, 7333041, 7333053, 7331467, 7331896, 7330774, 7330773, 7330485, 7332208, 7332124, 7333048, 7333038, 7331206, 7331204	128	54	2353	6.8084490740740735	9.801637279593933E-10	9.80157934258012E-10	9.721238528296676E-10
UP_KW_CELLULAR_COMPONENT	KW-0998~Cell outer membrane	24	12.307692307692308	8.657081544076248E-10	7330946, 7330614, 7333309, 7329996, 7329797, 7333380, 7329997, 7329898, 7333320, 7333562, 7332594, 7331341, 7329692, 7329783, 7333395, 7331225, 7330256, 7332846, 7331526, 7330843, 7333104, 7330214, 7332864, 7331325	80	87	1188	4.096551724137931	1.2119914294395073E-8	1.2119914161706747E-8	1.2119914161706747E-8
INTERPRO	IPR036942:TonB_rcpt_b-brl_sf	20	10.256410256410255	1.0270766008274874E-9	7330946, 7330614, 7333309, 7329996, 7329797, 7333380, 7329997, 7329898, 7333562, 7332594, 7331341, 7329783, 7330256, 7332846, 7331526, 7330843, 7333104, 7330214, 7332864, 7331325	177	69	3317	5.431916809956603	6.080291898857837E-7	4.612977311811682E-7	4.5973929290015074E-7
INTERPRO	IPR037066:Plug_dom_sf	18	9.230769230769232	1.5584382810174601E-9	7330946, 7330614, 7333309, 7329996, 7329797, 7329997, 7329898, 7333562, 7332594, 7331341, 7329783, 7330256, 7332846, 7331526, 7330843, 7330214, 7332864, 7331325	177	56	3317	6.023607748184019	9.225950293734186E-7	4.612977311811682E-7	4.5973929290015074E-7
UP_KW_DOMAIN	KW-1134~Transmembrane beta strand	22	11.282051282051283	1.8230621561835318E-9	7330946, 7330614, 7333309, 7329996, 7329797, 7333380, 7329997, 7329898, 7333562, 7332594, 7331341, 7329692, 7329783, 7330256, 7332846, 7331526, 7330216, 7330843, 7333104, 7330214, 7332864, 7331325	85	76	1289	4.389783281733747	2.00536833805387E-8	1.0026841859009424E-8	1.0026841859009424E-8
UP_KW_BIOLOGICAL_PROCESS	KW-0813~Transport	43	22.05128205128205	2.3888904640942967E-9	7330749, 7330748, 7330946, 7330747, 7330746, 7329996, 7329797, 7333380, 7329898, 7329997, 7329733, 7333562, 7332594, 7332891, 7331341, 7329692, 7332195, 7332196, 7332514, 7332558, 7330256, 7332515, 7330217, 7331526, 7330216, 7333104, 7330777, 7330214, 7331325, 7330614, 7333309, 7329783, 7331654, 7331653, 7330388, 7331399, 7331652, 7332846, 7331398, 7330745, 7333357, 7330843, 7332864	63	254	788	2.117485314335708	6.688892961737025E-8	6.688893299464031E-8	6.450004253054602E-8
GOTERM_BP_DIRECT	GO:0006412~translation	20	10.256410256410255	3.5090317179497874E-9	7333050, 7329844, 7333044, 7332220, 7332221, 7330170, 7330484, 7333041, 7333053, 7331467, 7331896, 7330774, 7330773, 7330485, 7332208, 7332124, 7333048, 7333038, 7331206, 7331204	96	62	1417	4.761424731182796	2.666863765377059E-7	2.6317737884623406E-7	2.6317737884623406E-7
GOTERM_CC_DIRECT	GO:0009279~cell outer membrane	26	13.333333333333334	4.314623555037276E-9	7330946, 7329996, 7329797, 7333380, 7329898, 7329997, 7333562, 7332594, 7333320, 7331341, 7329692, 7331225, 7330256, 7333429, 7331526, 7330216, 7333104, 7330214, 7331325, 7330614, 7333309, 7329783, 7333395, 7332846, 7330843, 7332864	105	91	1312	3.5700680272108842	1.0355096002889752E-7	1.0355096532089462E-7	9.060709465578279E-8
KEGG_PATHWAY	ccs03010:Ribosome	20	10.256410256410255	8.4959592425317E-9	7333050, 7329844, 7333044, 7332220, 7332221, 7330170, 7330484, 7333041, 7333053, 7331467, 7331896, 7330774, 7330773, 7330485, 7332208, 7332124, 7333048, 7333038, 7331206, 7331204	92	60	1235	4.47463768115942	5.862210202822737E-7	5.862211877346873E-7	5.862211877346873E-7
